zone_id	image_id	volume	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	url_image_full	image_filename	image_width_px	image_height_px
1	2	JJ100	2	contre-plat supérieur	contre-plat supérieur	4	NIA	6	0	2038	2047	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2nhlptb705f/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2nhlptb705f/full/1200,/0/default.jpg	2048	2048
2	3	JJ100	3	1r	1r	5	Table	0	1	3805	5566	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vguk29lradx8/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vguk29lradx8/full/1200,/0/default.jpg	3811	5636
3	4	JJ100	4	1v	1v	5	Table	1	86	3786	5532	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5zkx8l1np4b/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5zkx8l1np4b/full/1200,/0/default.jpg	3788	5700
4	5	JJ100	5	2r	2r	5	Table	0	139	3811	5437	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7p000806oh0/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7p000806oh0/full/1200,/0/default.jpg	3811	5676
5	6	JJ100	6	2v	2v	5	Table	3	118	3714	5482	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9kauck89td8/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9kauck89td8/full/1200,/0/default.jpg	3717	5700
6	7	JJ100	7	3r	3r	5	Table	0	74	3777	5455	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdahzc5oggv5/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdahzc5oggv5/full/1200,/0/default.jpg	3780	5652
7	8	JJ100	8	3v	3v	5	Table	41	32	1159	1762	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhw6qwceednz/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhw6qwceednz/full/1200,/0/default.jpg	1200	1840
8	9	JJ100	9	4r	4r	5	Table	0	77	3776	5473	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnic8ql13ufe/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnic8ql13ufe/full/1200,/0/default.jpg	3780	5652
9	10	JJ100	10	4v	4v	5	Table	37	87	3720	5487	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vberg38xzdfv/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vberg38xzdfv/full/1200,/0/default.jpg	3756	5700
10	11	JJ100	11	5r	5r	5	Table	0	71	3775	5486	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk5swk6986xq/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk5swk6986xq/full/1200,/0/default.jpg	3780	5652
11	12	JJ100	12	5v	5v	5	Table	34	82	3722	5518	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vi5h47kynza1/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vi5h47kynza1/full/1200,/0/default.jpg	3756	5700
12	13	JJ100	13	6r	6r	5	Table	0	79	3777	5481	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrr5zp4c4zx9/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrr5zp4c4zx9/full/1200,/0/default.jpg	3780	5652
13	14	JJ100	14	6v	6v	5	Table	34	96	3722	5510	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrtty3140sn6/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrtty3140sn6/full/1200,/0/default.jpg	3756	5700
14	15	JJ100	15	7r	7r	5	Table	0	63	3717	5486	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9reuq1t02ks/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9reuq1t02ks/full/1200,/0/default.jpg	3717	5652
15	16	JJ100	16	7v	7v	5	Table	58	47	3698	5538	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8khcxlbuv3n/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8khcxlbuv3n/full/1200,/0/default.jpg	3756	5700
16	17	JJ100	17	8r	8r	5	Table	0	56	3717	5514	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo2qq6riuyrl/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo2qq6riuyrl/full/1200,/0/default.jpg	3717	5652
17	18	JJ100	18	8v	8v	5	Table	35	61	3721	5542	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vclbdfcg05ok/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vclbdfcg05ok/full/1200,/0/default.jpg	3756	5700
18	19	JJ100	19	9r	9r	5	Table	0	26	3717	5502	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm0h8cc3gzsi/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm0h8cc3gzsi/full/1200,/0/default.jpg	3717	5652
