liaison_id	acte_id	act_number	register	folio_norm	image_id	image_order	zone_id	class_id	class_name	role	zone_order_in_image	zone_order_global	abs_x	abs_y	abs_w	abs_h	statut_zone	statut_structure
1	34859.0	8	JJ180	3r	11	1	15.0	0.0	AC	AC	307.0	1.0	6.0	307.0	1088.0	552.0	valide	
2	34867.0	16	JJ180	7r	19	1	30.0	1.0	AI	AI	182.0	1.0	0.0	182.0	1131.0	1019.0	valide	valide_AI_AM_AF
3	34867.0	16	JJ180	7r	20	2	31.0	2.0	AF	AF	3.0	2.0	0.0	3.0	1199.0	333.0	valide	valide_AI_AM_AF
4	34871.0	20	JJ180	8v	22	1	37.0	0.0	AC	AC	417.0	1.0	24.0	417.0	1175.0	825.0	valide	
5	34878.0	27	JJ180	12r	29	1	49.0	1.0	AI	AI	738.0	1.0	3.0	738.0	1195.0	453.0	valide	valide_AI_AM_AF
6	34878.0	27	JJ180	12r	30	2	50.0	2.0	AF	AF	1.0	2.0	8.0	1.0	1191.0	490.0	valide	valide_AI_AM_AF
7	34879.0	28	JJ180	12v	30	1	51.0	1.0	AI	AI	491.0	1.0	32.0	491.0	1168.0	722.0	valide	valide_AI_AM_AF
8	34879.0	28	JJ180	12v	31	2	52.0	2.0	AF	AF	2.0	2.0	1.0	2.0	1197.0	472.0	valide	valide_AI_AM_AF
9	34880.0	29	JJ180	19r	43	1	77.0	1.0	AI	AI	827.0	1.0	2.0	827.0	1198.0	356.0	valide	valide_AI_AM_AF
10	34880.0	29	JJ180	19r	44	2	78.0	3.0	AM	AM	0.0	2.0	8.0	0.0	1192.0	1235.0	valide	valide_AI_AM_AF
11	34880.0	29	JJ180	19r	45	3	79.0	2.0	AF	AF	1.0	3.0	3.0	1.0	1197.0	303.0	valide	valide_AI_AM_AF
12	34882.0	31	JJ180	14r	33	1	55.0	0.0	AC	AC	2.0	1.0	1.0	2.0	1199.0	607.0	valide	
13	34895.0	44	JJ180	19r	43	1											ancrage_sans_zone_initiale	
14	34898.0	47	JJ180	20v	46	1	82.0	0.0	AC	AC	290.0	1.0	22.0	290.0	1178.0	630.0	valide	
15	34900.0	49	JJ180	21v	48	1	85.0	0.0	AC	AC	2.0	1.0	13.0	2.0	1187.0	784.0	valide	
16	34903.0	52	JJ180	23v	52	1	93.0	1.0	AI	AI	762.0	1.0	18.0	762.0	1181.0	454.0	valide	valide_AI_AM_AF
17	34903.0	52	JJ180	23v	53	2	94.0	3.0	AM	AM	1.0	2.0	2.0	1.0	1197.0	1211.0	valide	valide_AI_AM_AF
18	34903.0	52	JJ180	23v	54	3	95.0	2.0	AF	AF	5.0	3.0	0.0	5.0	1199.0	247.0	valide	valide_AI_AM_AF
19	34911.0	60	JJ180	27r	59	1	107.0	1.0	AI	AI	1012.0	1.0	5.0	1012.0	1195.0	192.0	valide	valide_AI_AM_AF
20	34911.0	60	JJ180	27r	60	2	108.0	2.0	AF	AF	1.0	2.0	8.0	1.0	1191.0	482.0	valide	valide_AI_AM_AF
21	34914.0	63	JJ180	28r	61	1	112.0	1.0	AI	AI	930.0	1.0	1.0	930.0	1199.0	276.0	valide	valide_AI_AM_AF
22	34914.0	63	JJ180	28r	62	2	113.0	2.0	AF	AF	2.0	2.0	22.0	2.0	1177.0	895.0	valide	valide_AI_AM_AF
23	34915.0	64	JJ180	28r	61	1											ancrage_sans_zone_initiale	
24	34916.0	65	JJ180	29r	63	1	116.0	1.0	AI	AI	627.0	1.0	0.0	627.0	1199.0	566.0	valide	valide_AI_AM_AF
25	34916.0	65	JJ180	29r	64	2	117.0	2.0	AF	AF	2.0	2.0	28.0	2.0	1171.0	981.0	valide	valide_AI_AM_AF
26	34917.0	66	JJ180	29v	64	1	118.0	1.0	AI	AI	988.0	1.0	11.0	988.0	1187.0	232.0	valide	valide_AI_AM_AF
27	34917.0	66	JJ180	29v	65	2	119.0	3.0	AM	AM	0.0	2.0	3.0	0.0	1197.0	1212.0	valide	valide_AI_AM_AF
28	34917.0	66	JJ180	29v	66	3	120.0	2.0	AF	AF	44.0	3.0	0.0	44.0	1200.0	412.0	valide	valide_AI_AM_AF
